# KR dynamic universe — built 2026-07-22
# Filters: mcap ≥ ₩500억, daily vol ≥ ₩5억
# Count: 1830 종목
ticker,name_ko,market,market_cap_krw,avg_dollar_vol_60d,market_cap_tier
058650,세아홀딩스,KOSPI,489978258000,0,small
001500,현대차증권,KOSPI,482297743200,0,small
001530,DI동일,KOSPI,480602407200,0,small
006110,삼아알미늄,KOSPI,479413523500,0,small
005810,풍산홀딩스,KOSPI,478654094400,0,small
009410,태영건설,KOSPI,477929665268,0,small
003280,흥아해운,KOSPI,472915776333,0,small
284740,쿠쿠홈시스,KOSPI,470062063500,0,small
034310,NICE,KOSPI,466815893900,0,small
039130,하나투어,KOSPI,465472456600,0,small
079900,전진건설로봇,KOSPI,454557776750,0,small
377740,바이오노트,KOSPI,446770320480,0,small
020000,한섬,KOSPI,446721475200,0,small
008060,대덕,KOSPI,443025307680,0,small
002240,고려제강,KOSPI,441990000000,0,small
145990,삼양사,KOSPI,438321582500,0,small
005250,녹십자홀딩스,KOSPI,433600096200,0,small
249420,일동제약,KOSPI,425534489400,0,small
000070,삼양홀딩스,KOSPI,425422866800,0,small
460860,동국제강,KOSPI,423652465180,0,small
004700,조광피혁,KOSPI,422220263000,0,small
161000,애경케미칼,KOSPI,416919436130,0,small
004690,삼천리,KOSPI,413089900300,0,small
072710,농심홀딩스,KOSPI,411371973000,0,small
417310,코람코더원리츠,KOSPI,411272000000,0,small
003030,세아제강지주,KOSPI,407953214500,0,small
014830,유니드,KOSPI,399288400000,0,small
019170,신풍제약,KOSPI,398904952420,0,small
029530,신도리코,KOSPI,398830675450,0,small
001200,유진투자증권,KOSPI,398120977980,0,small
357120,코람코라이프인프라리츠,KOSPI,390801446310,0,small
002990,금호건설,KOSPI,388248929080,0,small
002810,삼영무역,KOSPI,387805908000,0,small
031430,신세계인터내셔날,KOSPI,386595300000,0,small
016590,신대양제지,KOSPI,382829290000,0,small
015360,INVENI,KOSPI,381772500000,0,small
016610,DB증권,KOSPI,377348398210,0,small
452260,한화갤러리아,KOSPI,376281503010,0,small
003000,부광약품,KOSPI,369005869540,0,small
027410,BGF,KOSPI,368988229305,0,small
004710,한솔테크닉스,KOSPI,365665653000,0,small
344820,KCC글라스,KOSPI,363329148000,0,small
002030,아세아,KOSPI,362563837200,0,small
271940,일진하이솔루스,KOSPI,358048053400,0,small
306200,세아제강,KOSPI,357373800000,0,small
001940,KISCO홀딩스,KOSPI,355827138000,0,small
105630,한세실업,KOSPI,354800000000,0,small
009900,명신산업,KOSPI,353648696420,0,small
005950,이수화학,KOSPI,352341864600,0,small
381970,케이카,KOSPI,350045480160,0,small
092230,KPX홀딩스,KOSPI,346420972000,0,small
007690,국도화학,KOSPI,344965992000,0,small
130660,한전산업,KOSPI,344582000000,0,small
005420,코스모화학,KOSPI,344521805160,0,small
403550,쏘카,KOSPI,344494673360,0,small
006220,제주은행,KOSPI,342832911990,0,small
060980,HL홀딩스,KOSPI,342272531900,0,small
017900,광전자,KOSPI,341868201700,0,small
104700,한국철강,KOSPI,337527000000,0,small
089590,제주항공,KOSPI,336676112375,0,small
170900,동아에스티,KOSPI,334636973600,0,small
017810,풀무원,KOSPI,331648715400,0,small
194370,제이에스코퍼레이션,KOSPI,330791041200,0,small
183190,아세아시멘트,KOSPI,322725099840,0,small
145720,덴티움,KOSPI,322533523400,0,small
008730,율촌화학,KOSPI,318928000000,0,small
126560,현대퓨처넷,KOSPI,318321031600,0,small
005610,삼립,KOSPI,316684630300,0,small
097520,엠씨넥스,KOSPI,313575030000,0,small
217590,티엠씨,KOSPI,312983982750,0,small
029460,케이씨,KOSPI,311881140500,0,small
002020,코오롱,KOSPI,311075088000,0,small
005720,넥센,KOSPI,309484024530,0,small
950210,프레스티지바이오파마,KOSPI,306490390500,0,small
016800,퍼시스,KOSPI,303600000000,0,small
011930,신성이엔지,KOSPI,301749864520,0,small
012030,DB,KOSPI,297938594773,0,small
004430,송원산업,KOSPI,296880000000,0,small
018250,애경산업,KOSPI,295791272000,0,small
0120G0,삼양바이오팜,KOSPI,295575832500,0,small
037710,광주신세계,KOSPI,295171556400,0,small
126720,수산인더스트리,KOSPI,293577300000,0,small
009160,SIMPAC,KOSPI,292208226960,0,small
009290,광동제약,KOSPI,291328876800,0,small
024720,콜마홀딩스,KOSPI,290832276320,0,small
011760,현대코퍼레이션,KOSPI,289714355400,0,small
002310,아세아제지,KOSPI,287586927900,0,small
025860,남해화학,KOSPI,285653347250,0,small
200880,서연이화,KOSPI,285420294720,0,small
108670,LX하우시스,KOSPI,285171906000,0,small
091810,트리니티항공,KOSPI,284875996122,0,small
026890,스틱인베스트먼트,KOSPI,282639401730,0,small
092790,넥스틸,KOSPI,282381720000,0,small
096760,JW홀딩스,KOSPI,280914779600,0,small
034830,한국토지신탁,KOSPI,280263045300,0,small
105840,우진,KOSPI,278525869300,0,small
010690,화신,KOSPI,278315667700,0,small
010820,퍼스텍,KOSPI,278000046600,0,small
192650,드림텍,KOSPI,276724681800,0,small
